code,name,name_short,name_tv,gender,function,country_code,country,country_full,nationality,nationality_full,nationality_code,height,weight,disciplines,events,birth_date,birth_place,birth_country,residence_place,residence_country,nickname,hobbies,occupation,education,family,lang,coach,reason,hero,influence,philosophy,sporting_relatives,ritual,other_sports
1919628,MORI Hikaru,MORI H,MORI Hikaru,Female,Athlete,JPN,Japan,Japan,Japan,Japan,JPN,0,0,['Trampoline Gymnastics'],['Women'],07-07-1999,"ADACHI-KU, TOKYO",Japan,"ADACHI-KU, TOKYO",Japan,Hikapoline,"Shopping, picnics",Athlete,"Faculty of Health Sciences, Department of Sports and Health at Kanazawa Gakuin University (Kanazawa City JPN)","Father, Hiroyuki. Mother, Mika. Brothers, Harutaro and Terutaro",Japanese,Personal: Maruyama Akiko (JPN),"Played on a trampoline in a rooftop garden of a supermarket. ""I felt like I was flying in the sky. I enjoyed it very much."" (gymnastics.sport)",Japanese actress Naka Riisa and Japanese social media star Nakamachi Aya,"Figure skater Mao Asada (JPN). ""I've been watching her singe I was little."" (Athlete, 28 May 2024)","""Enjoy it all."" (Athlete, 28 May 2024)",,"Sometimes gets her nails done for competition, watches YouTube videos or dramas",
1915391,VANASCH Vincent,VANASCH V,Vincent VANASCH,Male,Athlete,BEL,Belgium,Belgium,Belgium,Belgium,BEL,0,0,['Hockey'],['Men'],21-12-1987,UKKEL,Belgium,BRUSSELS,Belgium,"Vinschou, The Wall",Eating seafood,Athlete,"Masters in Physiotherapy - ISEK, Auderghem, BEL","Son, Leo. One daughter. Father, Jean. Older brothers, Philippe and Benoit","English., French",National: Michel van den Heuvel (NED),His family played the sport,,,"""Work hard in silence. Let success make the noise.""</p><p>""Talent wins games, teamwork wins championships."" (vincentvanasch.be)",,,
1945287,ZALEWSKI Aran,ZALEWSKI A,Aran ZALEWSKI,Male,Athlete,AUS,Australia,Australia,Australia,Australia,AUS,0,0,['Hockey'],['Men'],21-03-1991,WARSAW,Poland,"PERTH, WA",Australia,"Spruce, Moose","Surfing, travelling",Athlete,"Bachelor of Commerce - Curtin University, Perth, WA, AUS","Wife, Teagan. Daughter, Margot. Father, Wally. Mother, Cathy",English,Club: Craig Wilson (AUS)<br>National: Colin Batch (AUS),Followed his father into the sport,"Tennis player Novak Djokovic (SRB), has won an all-time record 24 Grand Slam men's singles titles (as of 10 SEP 2023), 2008 Olympic bronze medallist (singles), four-time Olympian (2008, 2012, 2016, 2020)",His parents,"""It's not about just going with the flow, it's about making an impact."" (Gryphon Hockey's YouTube channel, 11 Dec 2018)",,He always puts his left shoe and shin pad on first,
1972185,HORNE Keenan,HORNE K,Keenan HORNE,Male,Athlete,RSA,South Africa,South Africa,South Africa,South Africa,RSA,0,0,['Hockey'],['Men'],17-06-1992,CAPE TOWN,South Africa,PARIS,France,Keeno,"Trail running, hiking, camping, reading, playing the piano and the guitar","Athlete, attorney","Bachelor of Commerce, BCom, Stellenbosch University, RSA (2011-2014). Bachelor of Laws, LLB, Stellenbosch University, RSA (2015-2016). Master of Laws, LLM (Cum Laude), Sports Labour Law, Stellenbosch University, RSA (2018-2020)","Wife, Kendra",English,Club: Julien Boyer (FRA)<br>National: Cheslyn Gie (RSA),"He played both hockey and rugby union at school. ""I'm a very competitive person. I actually used to play rugby first at school. I didn't make my provincial team for rugby but I made it for hockey. So I was like, 'I want to play at the highest level regardless of what sport I'm playing'. That competitiveness is what drives me."" (mixcoud.com, 5 Jul 2019)","Rugby union player Dan Carter (NZL), two-time Rugby World Cup winner (2011, 2015), three-time International Rugby Board (IRB) Player of the Year (2005, 2012, 2015), record points scorer in test matches (1,598), capped 112 times by the All Blacks",Coach Paul Revington,"""Talent is cheap; commitment and dedication is expensive."" (myInfo)",,He always puts his left sock and left shoe on before the right,
1548829,SHAVDATUASHVILI Lasha,SHAVDATUASHVILI L,Lasha SHAVDATUASHVILI,Male,Athlete,GEO,Georgia,Georgia,Georgia,Georgia,GEO,0,0,['Judo'],"['Men -73 kg', 'Mixed Team']",31-01-1992,GORI,Georgia,GORI,Georgia,Shavi,Hunting,Athlete,Studied at Tbilisi State University (GEO),"Wife, Salome Arabuli. Two sons, Andria and Iovane. One daughter, Martha. Father, Genadi. Mother, Tea",Georgian,National: Lasha Gujejiani (GEO).<br>Club: Anzor Tenadze (GEO),"Inspired by Chidaoba wrestling in Gori, he wanted to compete due to a lack of other challenges in the village","Footballer Lionel Messi (ARG), FIFA World Cup winner (2022), Copa America winner (2021), eight time Ballon d'Or winner. Lifted every major club prize in the game with Barcelona and won gold at the 2008 Olympic Games in Beijing.</p><p>Footballer Cristiano Ronaldo (POR), won five Champions Leagues, seven league titles and five Ballon d’Or awards during his time at Manchester United, Real Madrid and Juventus. Won Euro 2016 with Portugal and is international football’s all-time top scorer and appearance maker",,"""Everything is possible if you want it."" (IJF YouTube Channel, 2023)",,,
1550088,GANDIA Adrian,GANDIA A,Adrian GANDIA,Male,Athlete,PUR,Puerto Rico,Puerto Rico,United States,United States of America,USA,0,0,['Judo'],['Men -81 kg'],19-12-1997,SAN JUAN,Puerto Rico,SAN JUAN,Puerto Rico,"Gandi. ""My family has called me Gandi since I was young and others call me that because of Mahatma Gandhi which is funny."" (Athlete, 26 Apr 2024)","Surfing, brewing beer, playing the guitar, reading, breadmaking",Athlete,International Business at EU Business School,"Partner, Adi Grossman. Father, Miguel Gandia. Mother, Maridalys Gines. Brother, Alejandro Gandia","English, German, Spanish",Personal: Liad Acco (ISR),"""My father used to do  jiu-jitsu in the club and I wanted to do the same as he was doing and be like him. They didn’t have a kids' class in the club but they had a judo class so my parents put me there and I enjoyed it."" (Athlete, 26 Apr 2024)","Wrestler David Taylor (USA), 2020 Olympic champion (86kg), four-time world championship medallist (three gold, one silver)","""My family. My parents Miguel and Maridalys always encouraged me to follow my dreams even when it meant making hard decisions such as moving to different countries to have a better chance at developing my judo. </p><p>""My brother Alejandro also helped me as a training partner in countless occasions when I needed someone to train with. </p><p>""My girlfriend Adi has supported me throughout these last years and has been by my side through all the ups and downs that this Olympic cycle has brought.</p><p>""These four individuals have been most influential. There are countless more including coaches, training partners and mentors who have all helped me along the way as well. Too many to count."" (Athlete, 26 Apr 2024)","""Grateful for the opportunity to fight. Every fight is the final."" (Athlete, 26 Apr 2024)","Brother Alejandro (judo), 2024 Pan American Open Varadero bronze medallist",,
1563086,STARKE Pauline,STARKE P,Pauline STARKE,Female,Athlete,GER,Germany,Germany,Germany,Germany,GER,0,0,['Judo'],"['Women -57 kg', 'Mixed Team']",31-07-1997,NURNBERG,Germany,HANNOVER,Germany,Pauli,"Skiing, crafting, sports in general",Soldier,Bachelor's degree of Science in Biology,"Husband, Fabian Eggers. Father, Markus. Mother, Kerstin. Older sister, Julia","English, german",Club/National: Miguel Ogando Lopes (POR).<br>National: Claudiu Viorel Pusa (ROU),Her dad and her sister were involved in the sport,,Her older sister Julia,"""Be the best version of yourself."" (Athlete, 5 Apr 2024)",,Eats Kinder Joy chocolate eggs with the team the night before a competition,
1563097,TRIPPEL Eduard,TRIPPEL E,Eduard TRIPPEL,Male,Athlete,GER,Germany,Germany,Germany,Germany,GER,0,0,['Judo'],"['Men -90 kg', 'Mixed Team']",26-03-1997,RUSSELSHEIM,Germany,RUSSELSHEIM,Germany,Edu,"Creating judo content for social media. Playing table tennis, playing Tetris",Police commissioner and athlete,Graduated with a Bachelor of Arts from Hessen University of Applied Sciences for Public Management and Security in 2022,"Father, Artasches Harutyunyan (ARM). Mother, Maria Trippel. Two younger brothers","English, German, Russian",Club: Andreas Esper (GER).</p><p>National: Pedro Guedes (BRA),"His primary school teacher recommended he did sport because of his hyper activity. ""At that time, there was a trial training session at the Rüsselsheim Judo Club at my school, which I took part in. I liked it so much that I continued."" (Athlete, 10 Jul 2024)","Judoka An Chang-Rim (KOR), 2020 Olympic -73kg bronze medallist, three-time world championship -73kg medallist (one gold, two bronze).</p><p>Judoka Georgii Zantaraia (UKR), three-time Olympian (2012, 2016, 2020), six-time world championship medallist (one gold, one silver, four bronze).</p><p>Judoka Varlam Liparteliani (GEO), 2016 Olympic -90kg silver medallist, six-time world championship medallist (three silver, three bronze).</p><p>Wrestler Frank Staebler (GER), 2020 Olympic bronze medallist, five-time world championship medallist (three gold, two bronze)","""Alexander Wieczerzak (2017 world champion -81kg), because he is not only a very successful judoka, but also a good friend who is always at my side."" (Athlete, 10 Jul 2024)","""What doesn't kill you only makes you stronger."" (Athlete, 10 Jul 2024)",,"""I have rituals but they are secret to maintain the magic."" (Athlete, 10 Jul 2024)",
1568874,KRISTO Katarina,KRISTO K,Katarina KRISTO,Female,Athlete,CRO,Croatia,Croatia,Croatia,Croatia,CRO,0,0,['Judo'],['Women -63 kg'],20-03-2002,SPLIT,Croatia,KA?TELA,Croatia,Kate,"Hiking, reading, gardening","Athlete, student",Dental student at Travniku University (BIH),"Father, Tadija. Mother, Ivana. Younger sister, Iva","Croatian, English",Personal: Josip Baric (CRO).<br>National: Vladimir Preradovic,"""I was a hyperactive kid and wanted to train martial arts and judo was closest to my house."" (Athlete, 20 Mar 2024)","Judoka Tina Trstenjak (SLO), two-time Olympic medallist (2016 gold, 2020 silver), four-time world championship medallist (one gold, one silver, two bronze)","Her family friend Mate. ""He was with me through ups and downs, my darkest and my brightest moments, through all my injuries and never gave up on me. He believed in me when no one believed."" (Athlete, 20 Mar 2024)","""Get 1% better every day."" (Athlete, 20 Mar 2024)",Grandmother was a gymnastics national champion in Yugoslavia,She talks to herself and prays when things get tough,"Tennis, gymnastics, swimming, athletics, sailing, volleyball - but just for fun"
1571911,BABULFATH Tara,BABULFATH T,Tara BABULFATH,Female,Athlete,SWE,Sweden,Sweden,Sweden,Sweden,SWE,0,0,['Judo'],['Women -48 kg'],03-01-2006,STOCKHOLM,Sweden,STOCKHOLM,Sweden,Pippi (after fictional Swedish children's character Pippi Longstocking),"Riding horses, snowboarding. ""I like everything that goes fast and gives you an adrenaline kick."" (Athlete, 11 May 2024)","Athlete, student",Studying Economics and Law at Stockholms Idrottsgymnasium (SWE),"Father, Mohammad. Mother, Ida. Sister, Hanna. Brothers, Tiam and Philip","English, Farsi, Swedish",Personal: Ann Lof (SWE).<br>Club: Ulf Lindblom (SWE).<br>National: Jane Bridge (GBR) - 1980 world champion in -48kg class,"She comes from a wrestling family but her parents wanted to teach her a different sport. She immediately fell in love with judo. (YouTube, 18 Apr 2024)","Judoka Daria Bilodid (UKR), 2020 Olympic bronze medallist (-48kg), two-time world champion (2018, 2019).</p><p>Judoka Julia Figueroa (ESP), two-time Olympian (2016, 2020), 2021 World Championships -48kg bronze medallist","""My family is always supporting me. My best friends are my sister Hanna, and Isabella Eriksson Ghazinour. They help me a lot and are my training partners."" (YouTube, 18 Apr 2024)","""Dream big, the dream is free and you can do anything."" (YouTube, 18 Apr 2024)","Father, Mohammad Babulfath (wrestling), competed for Sweden in Greco-Roman at the Athens 2004 Olympic Games. He was Swedish national coach, 2010-2016. </p><p>Mother, Ida Hellstrom (wrestling), competed at international level.</p><p>Sister, Hanna Babulfath (judo), Swedish cadet champion in 2022",,Wrestling: Competed in freestyle wrestling when she was younger
1891289,AGBEGNENOU Clarisse,AGBEGNENOU C,Clarisse AGBEGNENOU,Female,Athlete,FRA,France,France,France,France,FRA,0,0,['Judo'],"['Women -63 kg', 'Mixed Team']",25-10-1992,RENNES,France,PARIS,France,Gnougnou,"""My daughter. And I love cooking and eating."" (Athlete, 17 Jun 2024)","Athlete.</p><p>Adjudant of the National Gendarmerie, a national police force in France which also serves as a branch of the French Armed Forces.</p><p>Life coach at HEC, one of the world's best business schools, HEC Paris is a leader in research and education in management sciences",Executive coaching HEC,"Partner, Thomas Grava. Daughter, Athena (2022). Younger brother, Joris - French judo champion (2021)","English, French",National: Ludovic Delacotte (FRA).</p><p>Club: Barbara Harel (FRA),"""At school I was always hyperactive. A teacher recommended I try judo to learn to control myself. I followed his advice and joined the judo club in Asnieres. I had a bit of trouble in the beginning, but after two years I got my orange belt and that's where it all started."" (Athlete, 17 Jun 2024)","My mother.</p><p>Tennis player Serena Williams (USA), winner of 23 Grand Slam singles titles, 2012 Olympic singles champion, three-time Olympic doubles champion (2000, 2008, 2012)","""Ahcène Goudjil because he was with me when I was very young and he taught me a lot of values about work and how to work intelligently."" (Athlete, 17 Jun 2024)","""If you want something, go for it and never listen to anyone who says you cannot do it."" (JudoTV, 22 Apr 2024)","Brother, Joris (judo), represents France in the -100kg class","""Where there's a will there's a way, but you have to have the means."" (Athlete, 17 Jun 2024)","""I tried a lot of sports and had to choose between athletics and judo."" (Athlete, 17 Jun 2024)"
